target,mae_overall_final,mae_h1_final,mae_overall_baseline,mae_overall_raw,horizon,mae_final,mae_baseline,mae_raw
temp_avg,2.180035260217357,1.3594722234827217,2.6764789758566443,2.165291485693521,,,,
temp_avg,,,,,1.0,1.3594722234827217,1.3750183758357295,1.6685783174148343
temp_avg,,,,,2.0,2.068527300331198,2.2591274047476224,2.071360858266234
temp_avg,,,,,3.0,2.301082725333138,2.7323371248661603,2.2271240323076342
temp_avg,,,,,4.0,2.3884007237633704,2.9994303217030316,2.2997635784753516
temp_avg,,,,,5.0,2.4065312807212136,3.141869774893853,2.3067943345143105
temp_avg,,,,,6.0,2.3823921137222173,3.156245162294897,2.302505885377983
temp_avg,,,,,7.0,2.353840454167642,3.0713246666552187,2.280913393498297
rh_avg,6.325125688025862,4.450385887266422,7.622081944315989,6.8769930510515245,,,,
rh_avg,,,,,1.0,4.450385887266422,4.637070481380934,6.695072652237661
rh_avg,,,,,2.0,5.99454111820033,6.787372422638931,6.834599805741589
rh_avg,,,,,3.0,6.5068223210496825,7.798514434332747,6.874441162789433
rh_avg,,,,,4.0,6.727651524167428,8.331360493751179,6.9170762170988205
rh_avg,,,,,5.0,6.8048443259236535,8.534935160489027,6.9192348469598715
rh_avg,,,,,6.0,6.856430140134904,8.566736495815833,6.948493107447717
rh_avg,,,,,7.0,6.935204499438613,8.698584121803275,6.950033565085579
