target,mae_overall_final,mae_h1_final,mae_overall_baseline,mae_overall_raw,horizon,mae_final,mae_baseline,mae_raw
temp_avg,0.6155578042706835,0.4645929817134694,0.7661074887567796,0.6380982299028304,,,,
temp_avg,,,,,1.0,0.4645929817134694,0.510800639909935,0.5925971267292208
temp_avg,,,,,2.0,0.5911570136795207,0.7272661301965302,0.6226459375412714
temp_avg,,,,,3.0,0.6289718958146839,0.7749806546282278,0.6412841453752675
temp_avg,,,,,4.0,0.644062514198179,0.7970926168847297,0.6509091285069364
temp_avg,,,,,5.0,0.6559577665000476,0.8315343521075497,0.6539011377871068
temp_avg,,,,,6.0,0.6619900231123413,0.8485617816621305,0.6544692970982242
temp_avg,,,,,7.0,0.6621724348765429,0.8725162459083544,0.6508808362817854
rh_avg,2.3850292054416804,1.9681221023177042,4.092170766437539,2.343445760815731,,,,
rh_avg,,,,,1.0,1.9681221023177042,2.706476326661743,2.185744463567282
rh_avg,,,,,2.0,2.291396675216122,3.781453128201937,2.2615295558918818
rh_avg,,,,,3.0,2.40006655552261,4.144498596616442,2.3381701604901584
rh_avg,,,,,4.0,2.4434313124689444,4.360259907048613,2.3689648832783394
rh_avg,,,,,5.0,2.5056626336709593,4.468430999925873,2.3982639472132607
rh_avg,,,,,6.0,2.542577240925313,4.561397573742029,2.420939442839131
rh_avg,,,,,7.0,2.54394791797011,4.622678832866133,2.430507872430063
