target,mae_overall_final,mae_h1_final,mae_overall_baseline,mae_overall_raw,horizon,mae_final,mae_baseline,mae_raw
temp_avg,1.0684057719033335,0.6570667482003717,1.362403832708977,1.1447173818172067,,,,
temp_avg,,,,,1.0,0.6570667482003717,0.6937393617470663,0.9876097883318335
temp_avg,,,,,2.0,0.9723719041237948,1.1154886253537273,1.078943470150523
temp_avg,,,,,3.0,1.0868513360433052,1.3671251152940405,1.1347983851250583
temp_avg,,,,,4.0,1.1413535587072017,1.5238500062662779,1.1659419187720772
temp_avg,,,,,5.0,1.1813888271461783,1.6015107542248135,1.1900682274905918
temp_avg,,,,,6.0,1.2079598459831977,1.6198535665337035,1.2185237067323542
temp_avg,,,,,7.0,1.2318481831192851,1.6152593995432085,1.2371361761180097
rh_avg,3.9734219916642606,2.838061593568425,5.482109686632279,4.348900914524259,,,,
rh_avg,,,,,1.0,2.838061593568425,3.0286676978887845,3.707842930445764
rh_avg,,,,,2.0,3.6309604425881896,4.456824508992853,4.15424352236777
rh_avg,,,,,3.0,4.02061387914801,5.363161563430545,4.399565821570606
rh_avg,,,,,4.0,4.150931249563629,5.97597480639331,4.504326706145135
rh_avg,,,,,5.0,4.2424235206681935,6.330779834488752,4.527992131650282
rh_avg,,,,,6.0,4.4064124950525825,6.61176889077756,4.579560229373177
rh_avg,,,,,7.0,4.5245507610607945,6.6075905044541505,4.568775060117079
